"customer_id","customer_name","birth_year","birth_month","gender","address","address_2","city","state_abv","zip_code","per_capita_income_for_zip_code","customer_annual_income"
1,"Hazel Robinson",1966,11,"Female","462 Rose Lane",NULL,"La Verne","CA","91750",29278,59696
2,"Sasha Sadr",1966,12,"Female","3606 Federal Boulevard",NULL,"Little Neck","NY","11363",37891,77254
3,"Saanvi Lee",1938,11,"Female","766 Third Drive",NULL,"West Covina","CA","91792",22681,33483
4,"Everlee Clark",1957,1,"Female","3 Madison Street",NULL,"New York","NY","10069",163145,249925
5,"Kyle Peterson",1976,9,"Male","9620 Valley Stream Drive",NULL,"San Francisco","CA","94117",53797,109687
6,"Aldo Walker",1977,10,"Male","58 Birch Lane","6","Davenport","IA","52803",20599,41997
7,"Katalina Lewis",1983,12,"Female","5695 Fifth Street","1","Louisville","KY","40299",25258,51500
8,"Ryland Howard",1993,12,"Male","1941 Ninth Street","10","Portland","OR","97214",26790,54623
9,"Kenya Cooper",1938,7,"Female","11 Spruce Avenue",NULL,"Telford","PA","18969",26273,42509
10,"Sawyer Butler",1986,1,"Female","887 Grant Street",NULL,"Abbeville","LA","70510",18730,38190
11,"Antonio Ryan",1992,6,"Male","888 Fifth Lane","10","Fair Oaks","CA","95628",27548,56164
12,"Elliot Edwards",1990,9,"Female","8677 Littlewood Lane",NULL,"Greeley","CO","80634",22427,45727
13,"Romina Garcia",2002,1,"Female","829 Fourth Boulevard",NULL,"Cranston","RI","2921",33914,69149
14,"Keanu Chen",1985,10,"Male","74786 Jefferson Drive",NULL,"Traverse City","MI","49686",20325,41442
15,"Poppy Flores",1971,5,"Female","781 East Street",NULL,"San Antonio","TX","78207",10059,20513
16,"Riya Cruz",1978,4,"Female","40 Washington Drive",NULL,"Boise City","OK","73933",11342,23123
17,"Saul Walker",1966,1,"Male","3994 Hillside Drive",NULL,"Henderson","TX","75652",17898,36497
18,"Anahi Rogers",1943,8,"Female","172 Birch Street","9","Flagstaff","AZ","86004",21950,27484
19,"Cayden Rivera",1997,11,"Male","8145 Spruce Boulevard","635","Charlotte","NC","28269",26481,53995
20,"Cristiano Jenkins",1953,10,"Male","153 Tenth Lane",NULL,"Tucson","AZ","85711",17460,35602
21,"Blaine Murphy",1991,8,"Male","2473 Lake Avenue","6","Helena","GA","31037",12321,25122
22,"Grayson Diaz",2002,1,"Male","970 Essex Drive","39","Portola Valley","CA","94028",106305,216740
