"customer_id","first_name","last_name","address_1","address_2","city","zip_code","state_id"
1,"Hazel","Robinson","462 Rose Lane",NULL,"La Verne","91750",1
2,"Sasha","Sadr","3606 Federal Boulevard",NULL,"Little Neck","11363",2
3,"Saanvi","Lee","766 Third Drive",NULL,"West Covina","91792",1
4,"Everlee","Clark","3 Madison Street",NULL,"New York","10069",2
5,"Kyle","Peterson","9620 Valley Stream Drive",NULL,"San Francisco","94117",1
6,"Aldo","Walker","58 Birch Lane","6","Davenport","52803",3
7,"Katalina","Lewis","5695 Fifth Street","1","Louisville","40299",4
8,"Ryland","Howard","1941 Ninth Street","10","Portland","97214",5
9,"Kenya","Cooper","11 Spruce Avenue",NULL,"Telford","18969",6
10,"Sawyer","Butler","887 Grant Street",NULL,"Abbeville","70510",7
11,"Antonio","Ryan","888 Fifth Lane","10","Fair Oaks","95628",1
12,"Elliot","Edwards","8677 Littlewood Lane",NULL,"Greeley","80634",8
13,"Romina","Garcia","829 Fourth Boulevard",NULL,"Cranston","2921",9
14,"Keanu","Chen","74786 Jefferson Drive",NULL,"Traverse City","49686",10
15,"Poppy","Flores","781 East Street",NULL,"San Antonio","78207",11
16,"Riya","Cruz","40 Washington Drive",NULL,"Boise City","73933",12
17,"Saul","Walker","3994 Hillside Drive",NULL,"Henderson","75652",11
18,"Anahi","Rogers","172 Birch Street","9","Flagstaff","86004",13
19,"Cayden","Rivera","8145 Spruce Boulevard","635","Charlotte","28269",14
20,"Cristiano","Jenkins","153 Tenth Lane",NULL,"Tucson","85711",13
21,"Blaine","Murphy","2473 Lake Avenue","6","Helena","31037",15
22,"Grayson","Diaz","970 Essex Drive","39","Portola Valley","94028",1
23,"Yadiel","Miller","9186 Washington Avenue",NULL,"Cleveland","44134",16
24,"Roland","King","5073 Wessex Avenue",NULL,"Tyronza","72386",17
25,"Cole","Xi","195 Eighth Boulevard",NULL,"Central Point","97502",5
26,"Jade","Green","801 Mill Boulevard",NULL,"Mesa","85201",13
27,"Amaya","Stewart","6914 Wessex Avenue","7043","Houston","77061",11
28,"Grant","Gray","776 Norfolk Boulevard",NULL,"Van Nuys","91411",1
29,"Oliver","Reed","2015 Bayview Avenue","8","Cookeville","38501",18
30,"Aminah","Collins","108 Washington Street","65","Whites Creek","37189",18
31,"Ulises","Neufelder","660 Seventh Drive","6","Columbus","43230",16
32,"Tristan","Hughes","7505 Tenth Boulevard",NULL,"Miami","33175",19
33,"Madalynn","Gutierrez","4930 Birch Drive",NULL,"Southport","28461",14
34,"Rosa","Faraday","93 Plum Lane",NULL,"Old Saybrook","6475",20
35,"Brynn","Allen","837 Lincoln Avenue",NULL,"Mobile","36693",21
36,"Aden","Adams","7467 Spruce Drive",NULL,"Sacramento","95829",1
37,"Haylee","Baker","6323 Sussex Boulevard",NULL,"Chula Vista","91911",1
38,"Nehemiah","Turner","8738 Fourth Street",NULL,"Hanover Park","60133",22
39,"Simon","Adams","9344 Mill Drive",NULL,"Seaside","93955",1
40,"Sunny","King","299 11th Street",NULL,"Northborough","1532",23
41,"Harper","Jackson","5492 Maple Drive","2","Overland Park","66221",24
42,"Thomas","Burns","829 Birch Boulevard","81","Corpus Christi","78410",11
43,"Titan","Flores","41011 Seventh Boulevard",NULL,"Chandler","85226",13
44,"Leslie","Myers","613 Little Creek Lane","848","Immokalee","34142",19
45,"Joaquin","Parker","1942 Rose Avenue",NULL,"Port Orange","32128",19
46,"Butch","Brooks","5101 Birch Lane",NULL,"Maryland Heights","63043",25
47,"Kiera","Allen","7 11th Drive",NULL,"San Antonio","78210",11
48,"Lylah","Peres","2468 Spruce Drive","78","Longwood","32750",19
49,"Ty","Jackson","8001 Essex Boulevard",NULL,"Milwaukee","53210",26
50,"Bodhi","Nguyen","708 George Street",NULL,"Camilla","31730",15
51,"Chaya","Howard","28 Hillside Boulevard","4","Canton","48188",10
52,"Kyleigh","Rogers","446 Birch Drive",NULL,"La Follette","37766",18
53,"Mikaela","Martin","578 Maple Avenue",NULL,"Inman","29349",27
54,"Luella","Perry","14 Valley Drive",NULL,"Poca","25159",28
55,"Lainey","Gutierrez","2475 Little Creek Boulevard",NULL,"Leander","78641",11
56,"Marvin","Anwar","9604 Catherine Drive",NULL,"Rego Park","11374",2
57,"Holden","Taylor","349 First Drive",NULL,"Atlanta","30318",15
58,"Aiyana","Abe","7914 Essex Boulevard","46","Toledo","43623",16
59,"Milani","Merkel","524 Ocean Drive","87","Houston","77056",11
60,"Princess","Cooper","2079 Maple Drive",NULL,"Mount Union","17066",6
61,"Wyatt","Davis","295 Valley Drive",NULL,"San Antonio","78232",11
